,IA,IB,IC,IZ,eA,eB,eC
829,-39.59,19.0,14.52,-6.08,0.08,-0.02,-0.04
830,-40.15,20.09,13.97,-6.09,0.09,-0.05,-0.03
831,-39.04,20.64,13.42,-4.98,0.11,-0.07,-0.02
832,-42.37,22.83,11.77,-7.77,0.13,-0.09,-0.02
833,-43.48,25.56,11.77,-6.15,0.13,-0.09,-0.01
834,-45.15,28.85,11.22,-5.08,0.12,-0.1,0.0
835,-46.26,31.04,9.02,-6.2,0.12,-0.1,0.01
836,-47.37,33.77,6.82,-6.78,0.11,-0.1,0.01
837,-49.04,35.41,6.27,-7.35,0.11,-0.1,0.02
838,-49.6,39.24,4.08,-6.28,0.1,-0.1,0.03
839,-50.15,42.53,1.88,-5.75,0.09,-0.1,0.03
840,-52.38,45.26,0.78,-6.34,0.08,-0.09,0.04
841,-52.93,48.0,-1.97,-6.9,0.08,-0.09,0.05
842,-53.49,50.19,-4.72,-8.02,0.07,-0.09,0.05
843,-52.93,50.73,-5.27,-7.47,0.06,-0.1,0.07
844,-51.82,50.73,-6.37,-7.45,0.06,-0.12,0.1
845,-51.26,51.83,-8.02,-7.45,0.06,-0.14,0.12
846,-51.26,54.56,-10.77,-7.46,0.05,-0.14,0.12
847,-50.71,56.21,-13.51,-8.02,0.04,-0.13,0.13
848,-49.6,58.94,-16.26,-6.92,0.04,-0.12,0.12
849,-46.82,59.49,-19.56,-6.89,0.03,-0.12,0.11
850,-46.26,60.04,-22.86,-9.08,0.03,-0.11,0.11
851,-43.48,61.68,-23.96,-5.76,0.02,-0.1,0.11
852,-42.37,62.77,-27.8,-7.4,0.01,-0.09,0.1
853,-40.15,63.87,-32.75,-9.03,0.0,-0.09,0.1
854,-37.37,64.41,-34.4,-7.36,0.0,-0.07,0.09
855,-35.7,65.51,-37.15,-7.34,-0.01,-0.07,0.08
856,-33.48,65.51,-39.9,-7.87,-0.02,-0.06,0.08
857,-31.26,66.06,-41.55,-6.75,-0.04,-0.05,0.09
858,-32.37,64.96,-41.0,-8.4,-0.06,-0.05,0.11
859,-29.03,64.41,-42.1,-6.72,-0.07,-0.05,0.12
860,-26.81,63.32,-45.94,-9.44,-0.08,-0.04,0.12
861,-24.03,62.22,-45.94,-7.75,-0.09,-0.03,0.12
862,-22.92,61.68,-47.04,-8.29,-0.1,-0.03,0.12
863,-17.92,60.04,-49.24,-7.12,-0.09,-0.02,0.1
864,-13.47,56.75,-50.89,-7.61,-0.09,-0.02,0.09
865,-11.81,55.11,-51.44,-8.14,-0.08,-0.02,0.08
866,-9.58,52.92,-51.44,-8.1,-0.08,-0.01,0.08
867,-5.14,51.28,-51.99,-5.85,-0.08,0.0,0.07
868,-2.36,48.55,-54.74,-8.55,-0.08,0.0,0.06
869,1.53,46.9,-54.74,-6.3,-0.08,0.01,0.05
870,2.09,45.26,-54.19,-6.84,-0.08,0.03,0.04
871,4.31,43.62,-54.74,-6.81,-0.1,0.05,0.03
872,3.75,42.53,-52.54,-6.26,-0.11,0.06,0.02
873,7.09,38.7,-53.09,-7.3,-0.12,0.08,0.01
874,8.2,36.51,-51.99,-7.28,-0.12,0.08,0.01
875,10.98,33.22,-50.89,-6.69,-0.12,0.09,0.0
876,11.54,31.04,-49.24,-6.67,-0.12,0.09,-0.01
877,11.54,27.75,-46.49,-7.21,-0.11,0.08,-0.01
878,13.2,25.02,-45.94,-7.72,-0.1,0.08,-0.01
879,13.2,21.73,-43.2,-8.26,-0.1,0.08,-0.02
880,14.87,18.45,-40.45,-7.13,-0.1,0.07,-0.01
881,15.43,15.71,-38.25,-7.11,-0.09,0.07,-0.01
882,15.98,12.98,-34.95,-5.99,-0.09,0.07,-0.02
883,15.43,9.15,-32.2,-7.63,-0.08,0.07,-0.02
884,15.43,8.05,-30.55,-7.07,-0.08,0.07,-0.03
885,15.98,7.51,-29.45,-5.97,-0.07,0.08,-0.06
886,13.2,5.87,-27.26,-8.19,-0.07,0.09,-0.07
887,12.65,4.77,-23.41,-5.99,-0.07,0.1,-0.08
888,12.65,1.49,-20.66,-6.52,-0.06,0.09,-0.08
889,12.65,-1.25,-16.81,-5.41,-0.05,0.08,-0.08
890,9.87,-2.34,-15.16,-7.64,-0.04,0.08,-0.07
891,7.64,-2.89,-11.32,-6.56,-0.04,0.07,-0.07
892,5.98,-2.89,-8.02,-4.93,-0.03,0.07,-0.07
893,4.31,-4.53,-6.37,-6.59,-0.03,0.07,-0.06
894,2.09,-6.72,-2.52,-7.15,-0.02,0.06,-0.06
895,0.98,-7.27,0.78,-5.51,-0.01,0.06,-0.07
896,-2.36,-6.17,1.88,-6.65,-0.01,0.05,-0.06
897,-4.03,-6.72,4.63,-6.12,0.0,0.05,-0.07
898,-4.03,-7.27,5.72,-5.57,0.02,0.05,-0.08
899,-4.58,-6.72,4.63,-6.68,0.04,0.04,-0.1
900,-7.36,-6.17,6.82,-6.71,0.06,0.04,-0.11
901,-9.58,-5.63,9.57,-5.64,0.07,0.03,-0.11
902,-11.25,-5.08,9.02,-7.31,0.08,0.03,-0.11
903,-12.36,-3.98,11.77,-4.57,0.09,0.02,-0.11
904,-16.81,-1.8,12.32,-6.28,0.09,0.02,-0.1
905,-21.25,-0.7,15.07,-6.89,0.08,0.01,-0.09
906,-24.03,0.94,17.82,-5.27,0.07,0.01,-0.07
907,-25.7,3.13,15.62,-6.95,0.07,0.0,-0.06
908,-29.03,6.41,17.27,-5.35,0.07,0.0,-0.06
909,-32.37,8.05,18.92,-5.4,0.07,-0.01,-0.05
910,-35.15,7.51,18.37,-9.27,0.07,-0.02,-0.04
911,-36.26,10.24,19.47,-6.55,0.07,-0.03,-0.03
912,-36.81,11.34,20.02,-5.46,0.09,-0.05,-0.02
913,-36.26,11.88,17.82,-6.56,0.1,-0.07,-0.01
914,-38.48,14.07,17.27,-7.14,0.12,-0.09,-0.01
915,-40.7,16.26,17.82,-6.63,0.12,-0.1,0.0
916,-42.37,20.09,15.07,-7.21,0.12,-0.1,0.0
917,-44.59,23.92,15.07,-5.6,0.11,-0.1,0.01
918,-44.59,27.21,12.87,-4.52,0.1,-0.1,0.02
919,-45.71,29.94,9.57,-6.19,0.1,-0.09,0.02
920,-46.26,32.68,8.47,-5.11,0.09,-0.09,0.02
921,-47.37,35.96,6.82,-4.59,0.09,-0.09,0.03
922,-47.93,38.7,2.98,-6.26,0.08,-0.09,0.03
923,-47.93,40.88,1.88,-5.17,0.08,-0.09,0.04
924,-48.48,43.07,-0.32,-5.73,0.07,-0.09,0.04
925,-47.93,44.17,-3.62,-7.38,0.07,-0.09,0.05
926,-47.37,45.26,-3.62,-5.73,0.06,-0.11,0.07
927,-46.82,46.36,-4.72,-5.18,0.05,-0.12,0.1
928,-45.15,47.45,-9.67,-7.37,0.05,-0.12,0.11
929,-44.59,49.09,-11.32,-6.82,0.04,-0.12,0.11
930,-44.04,50.73,-12.96,-6.27,0.04,-0.12,0.11
931,-41.82,52.92,-16.81,-5.7,0.03,-0.11,0.1
932,-40.15,53.47,-19.56,-6.24,0.02,-0.1,0.1
933,-37.37,54.02,-21.21,-4.56,0.02,-0.09,0.09
934,-36.26,54.56,-25.06,-6.75,0.01,-0.09,0.09
935,-34.04,56.21,-28.35,-6.18,0.01,-0.08,0.08
936,-31.81,56.75,-31.65,-6.71,0.01,-0.07,0.07
937,-28.48,57.3,-33.85,-5.03,0.0,-0.06,0.06
938,-26.26,57.3,-36.6,-5.55,-0.01,-0.06,0.07
939,-25.14,56.75,-37.15,-5.54,-0.02,-0.05,0.07
940,-24.59,55.11,-39.35,-8.82,-0.04,-0.05,0.09
941,-22.37,55.66,-38.25,-4.96,-0.06,-0.04,0.1
942,-18.47,54.56,-42.1,-6.01,-0.07,-0.04,0.1
943,-16.81,53.47,-43.75,-7.08,-0.07,-0.03,0.09
944,-13.47,52.92,-43.75,-4.3,-0.08,-0.02,0.09
945,-9.58,50.73,-45.94,-4.79,-0.07,-0.02,0.08
946,-6.8,48.55,-47.59,-5.85,-0.07,-0.01,0.06
947,-3.47,46.9,-48.14,-4.71,-0.07,-0.01,0.06
948,-0.69,44.17,-49.24,-5.77,-0.07,0.0,0.05
949,2.09,42.53,-50.34,-5.73,-0.07,0.0,0.05
950,4.31,39.24,-50.89,-7.34,-0.07,0.01,0.04
951,7.09,38.15,-43.75,1.49,-0.08,0.02,0.04
952,9.87,36.51,-47.04,-0.67,-0.08,0.02,0.03
953,9.87,33.77,-47.59,-3.95,-0.09,0.04,0.03
954,8.76,33.22,-42.65,-0.67,-0.11,0.07,0.01
955,10.98,31.58,-45.94,-3.38,-0.12,0.08,0.01
956,12.65,28.85,-43.2,-1.7,-0.13,0.09,0.0
957,14.31,26.11,-41.55,-1.12,-0.13,0.09,-0.01
958,14.87,23.38,-41.55,-3.3,-0.13,0.1,-0.01
959,15.98,20.64,-45.94,-9.32,-0.13,0.09,-0.01
960,15.98,17.9,-39.35,-5.46,-0.12,0.09,-0.01
961,18.76,14.62,-39.9,-6.52,-0.11,0.08,-0.02
962,18.76,11.88,-36.05,-5.41,-0.11,0.08,-0.01
963,19.32,9.15,-32.75,-4.29,-0.1,0.07,-0.02
964,19.32,6.96,-32.75,-6.48,-0.09,0.07,-0.02
965,19.87,4.77,-28.9,-4.26,-0.09,0.07,-0.03
966,18.76,2.04,-27.26,-6.46,-0.08,0.07,-0.03
967,18.2,1.49,-23.96,-4.27,-0.08,0.08,-0.05
968,17.65,0.39,-24.51,-6.47,-0.07,0.09,-0.07
969,16.54,-0.7,-19.56,-3.72,-0.07,0.1,-0.08
970,16.54,-2.34,-17.91,-3.72,-0.06,0.1,-0.09
971,15.98,-4.53,-15.71,-4.26,-0.05,0.09,-0.09
972,13.76,-6.72,-11.86,-4.83,-0.04,0.09,-0.09
973,11.54,-7.27,-9.67,-5.4,-0.04,0.08,-0.08
974,9.31,-7.81,-5.82,-4.32,-0.03,0.08,-0.08
975,8.2,-8.36,-3.62,-3.78,-0.03,0.07,-0.08
976,5.42,-8.91,-1.42,-4.91,-0.02,0.07,-0.08
977,3.2,-9.46,2.43,-3.83,-0.02,0.07,-0.07
978,1.53,-10.0,3.53,-4.95,-0.01,0.06,-0.07
979,-1.25,-10.55,7.37,-4.42,-0.01,0.05,-0.06
980,-3.47,-10.0,9.02,-4.45,0.0,0.04,-0.06
981,-2.91,-10.0,9.02,-3.89,0.03,0.04,-0.07
982,-6.25,-9.46,10.67,-5.03,0.04,0.03,-0.08
983,-9.03,-8.36,13.42,-3.97,0.04,0.03,-0.08
984,-10.69,-7.27,12.87,-5.09,0.05,0.03,-0.08
985,-12.36,-5.63,13.97,-4.02,0.05,0.02,-0.09
986,-16.25,-3.44,15.07,-4.62,0.06,0.02,-0.08
987,-19.59,-1.8,16.17,-5.21,0.06,0.01,-0.07
988,-22.92,0.39,18.92,-3.61,0.05,0.01,-0.06
989,-25.7,2.58,18.92,-4.2,0.05,0.0,-0.05
990,-28.48,4.22,20.57,-3.69,0.05,0.0,-0.04
991,-31.26,5.87,21.12,-4.28,0.05,-0.01,-0.03
992,-33.48,8.05,21.12,-4.31,0.06,-0.02,-0.03
993,-35.7,9.15,22.21,-4.34,0.06,-0.03,-0.02
994,-34.59,10.24,21.66,-2.68,0.08,-0.05,-0.01
995,-35.15,10.79,20.02,-4.34,0.1,-0.08,0.0
996,-37.37,12.43,20.02,-4.92,0.11,-0.09,0.01
997,-37.37,15.17,20.02,-2.19,0.12,-0.11,0.01
998,-39.59,17.9,16.72,-4.97,0.12,-0.11,0.01
999,-40.15,20.64,15.62,-3.89,0.12,-0.11,0.01
1000,-41.26,22.28,14.52,-4.46,0.12,-0.11,0.02
1001,-40.7,25.56,11.77,-3.37,0.11,-0.11,0.02
1002,-41.82,27.75,10.12,-3.94,0.11,-0.11,0.03
1003,-43.48,31.58,7.92,-3.98,0.1,-0.1,0.03
1004,-44.59,33.77,5.72,-5.1,0.09,-0.1,0.04
1005,-42.93,35.41,4.63,-2.89,0.09,-0.1,0.04
1006,-42.93,38.7,0.78,-3.45,0.08,-0.1,0.04
1007,-41.82,39.24,-1.97,-4.54,0.08,-0.1,0.05
1008,-41.26,39.79,-3.62,-5.09,0.07,-0.11,0.07
1009,-40.7,39.79,-3.62,-4.53,0.07,-0.13,0.09
1010,-39.04,41.43,-7.47,-5.07,0.07,-0.13,0.1
1011,-37.37,43.07,-10.77,-5.06,0.06,-0.13,0.1
1012,-36.26,44.17,-12.96,-5.05,0.05,-0.13,0.1
1013,-34.59,45.81,-16.26,-5.04,0.05,-0.12,0.1
1014,-31.81,46.36,-17.91,-3.37,0.04,-0.11,0.09
1015,-29.59,45.81,-21.76,-5.54,0.04,-0.11,0.09
1016,-27.92,46.9,-23.96,-4.98,0.03,-0.1,0.09
1017,-26.26,48.0,-25.06,-3.31,0.02,-0.09,0.08
1018,-23.48,48.55,-30.55,-5.48,0.01,-0.08,0.08
1019,-20.7,48.55,-31.1,-3.26,0.01,-0.08,0.07
1020,-18.47,47.45,-32.75,-3.78,0.0,-0.07,0.07
1021,-16.25,46.36,-35.5,-5.4,-0.01,-0.06,0.07
1022,-16.81,46.36,-36.05,-6.5,-0.03,-0.06,0.08
1023,-15.14,45.81,-34.95,-4.28,-0.05,-0.05,0.1
1024,-10.14,43.62,-38.25,-4.77,-0.06,-0.05,0.1
1025,-9.03,43.07,-38.25,-4.2,-0.06,-0.04,0.1
1026,-6.25,41.43,-39.35,-4.16,-0.07,-0.04,0.09
1027,-4.03,39.79,-41.55,-5.78,-0.07,-0.03,0.09
1028,-0.69,37.05,-41.0,-4.63,-0.07,-0.02,0.08
1029,2.09,34.87,-42.1,-5.14,-0.07,-0.02,0.07
1030,4.31,32.68,-43.2,-6.21,-0.07,-0.02,0.07
1031,8.2,29.94,-43.2,-5.05,-0.07,-0.01,0.06
1032,9.87,28.85,-43.2,-4.48,-0.07,0.0,0.05
1033,10.98,26.11,-43.2,-6.11,-0.08,0.0,0.05
1034,13.76,25.02,-43.2,-4.42,-0.08,0.02,0.04
1035,10.42,26.11,-42.65,-6.11,-0.11,0.05,0.04
1036,10.42,25.02,-41.55,-6.11,-0.14,0.08,0.03
1037,13.76,21.73,-40.45,-4.96,-0.15,0.09,0.02
1038,14.87,19.54,-39.9,-5.48,-0.15,0.09,0.01
1039,15.98,17.36,-37.7,-4.36,-0.14,0.1,0.0
1040,15.43,15.17,-36.05,-5.46,-0.14,0.09,0.0
1041,15.98,14.07,-33.3,-3.25,-0.14,0.1,0.0
1042,16.54,11.34,-32.75,-4.88,-0.14,0.1,-0.01
1043,17.65,6.96,-29.45,-4.85,-0.13,0.09,-0.01
1044,19.87,4.22,-27.26,-3.16,-0.12,0.09,-0.02
1045,21.54,1.49,-27.8,-4.78,-0.1,0.09,-0.03
1046,19.32,-0.7,-23.41,-4.79,-0.09,0.08,-0.04
1047,19.32,-1.8,-21.76,-4.24,-0.09,0.08,-0.04
1048,19.32,-2.89,-21.21,-4.78,-0.08,0.09,-0.05
1049,19.87,-3.44,-19.56,-3.13,-0.08,0.1,-0.07
1050,18.2,-3.98,-18.46,-4.24,-0.07,0.11,-0.1
1051,17.09,-3.98,-15.16,-2.05,-0.06,0.12,-0.11
1052,15.98,-6.17,-13.51,-3.71,-0.06,0.12,-0.12
1053,15.43,-7.81,-10.77,-3.15,-0.05,0.12,-0.12
1054,13.2,-8.91,-8.02,-3.72,-0.05,0.12,-0.11
1055,10.98,-8.91,-5.27,-3.2,-0.04,0.11,-0.11
1056,8.2,-8.91,-3.07,-3.78,-0.04,0.11,-0.1
1057,6.53,-9.46,-0.87,-3.79,-0.04,0.1,-0.1
1058,3.75,-10.0,1.88,-4.37,-0.03,0.1,-0.09
1059,2.64,-10.0,4.63,-2.73,-0.03,0.09,-0.09
1060,-0.14,-11.1,6.27,-4.96,-0.02,0.08,-0.08
1061,-2.91,-10.55,9.57,-3.89,-0.01,0.08,-0.08
1062,-4.58,-8.36,10.12,-2.82,0.0,0.07,-0.08
1063,-5.69,-8.36,9.02,-5.03,0.01,0.07,-0.09
1064,-7.36,-6.72,11.22,-2.86,0.03,0.06,-0.1
1065,-10.69,-5.63,12.87,-3.45,0.04,0.05,-0.1
1066,-13.47,-4.53,13.97,-4.03,0.04,0.05,-0.09
1067,-16.25,-3.44,16.72,-2.97,0.04,0.04,-0.08
1068,-17.92,-1.25,15.07,-4.1,0.05,0.03,-0.07
1069,-20.7,0.39,17.27,-3.04,0.05,0.02,-0.07
1070,-24.03,2.04,18.37,-3.63,0.05,0.02,-0.06
1071,-25.7,4.77,17.82,-3.11,0.05,0.01,-0.05
1072,-27.92,6.41,19.47,-2.04,0.05,0.0,-0.05
1073,-30.7,8.05,18.92,-3.73,0.06,0.0,-0.04
1074,-31.81,10.24,18.37,-3.2,0.07,-0.02,-0.04
1075,-32.92,11.88,18.92,-2.12,0.08,-0.03,-0.03
1076,-31.26,10.24,18.37,-2.65,0.11,-0.07,-0.02
1077,-31.26,11.88,16.17,-3.2,0.13,-0.09,-0.01
1078,-32.92,12.98,17.27,-2.68,0.15,-0.11,-0.01
1079,-33.48,15.17,15.62,-2.69,0.15,-0.12,0.01
1080,-35.15,17.9,13.97,-3.27,0.15,-0.12,0.01
1081,-35.7,20.09,12.87,-2.74,0.15,-0.13,0.02
1082,-35.7,21.73,10.67,-3.3,0.14,-0.12,0.02
1083,-35.7,24.47,9.02,-2.21,0.13,-0.12,0.02
1084,-36.81,27.21,6.27,-3.33,0.12,-0.11,0.03
1085,-37.93,29.94,4.63,-3.36,0.12,-0.11,0.03
1086,-37.93,32.68,1.88,-3.37,0.11,-0.11,0.04
1087,-36.81,34.87,0.78,-1.17,0.1,-0.1,0.04
1088,-36.81,35.96,-3.07,-3.92,0.09,-0.11,0.04
1089,-35.7,36.51,-5.27,-4.46,0.09,-0.11,0.06
1090,-35.15,35.96,-5.27,-4.46,0.08,-0.13,0.08
1091,-33.48,35.41,-6.37,-4.43,0.08,-0.14,0.1
1092,-32.37,37.05,-9.67,-4.98,0.07,-0.15,0.11
1093,-31.26,38.15,-11.32,-4.42,0.06,-0.15,0.12
1094,-30.15,40.34,-14.61,-4.42,0.05,-0.14,0.12
1095,-27.37,41.43,-17.36,-3.3,0.05,-0.13,0.11
1096,-26.26,40.88,-20.11,-5.48,0.04,-0.12,0.11
1097,-23.48,41.43,-21.76,-3.8,0.03,-0.12,0.1
1098,-21.81,41.98,-23.96,-3.79,0.02,-0.11,0.1
1099,-19.03,42.53,-26.16,-2.66,0.02,-0.1,0.1
1100,-17.36,41.98,-29.45,-4.84,0.02,-0.1,0.09
1101,-14.58,41.98,-31.1,-3.71,0.01,-0.09,0.09
1102,-11.81,41.43,-32.75,-3.13,0.0,-0.08,0.08
1103,-10.69,39.79,-33.3,-4.21,-0.01,-0.07,0.09
1104,-10.14,39.79,-34.4,-4.75,-0.03,-0.07,0.1
1105,-7.92,38.15,-34.4,-4.17,-0.05,-0.07,0.11
1106,-5.14,36.51,-34.95,-3.58,-0.06,-0.06,0.11
1107,-1.8,34.87,-36.6,-3.54,-0.06,-0.06,0.11
1108,0.42,32.68,-37.15,-4.05,-0.06,-0.05,0.1
1109,3.2,32.13,-38.25,-2.92,-0.06,-0.04,0.09
1110,5.42,29.39,-38.8,-3.98,-0.06,-0.04,0.09
1111,8.76,27.21,-38.25,-2.29,-0.07,-0.03,0.08
1112,10.42,25.02,-39.35,-3.91,-0.07,-0.03,0.07
1113,13.76,22.28,-38.8,-2.76,-0.07,-0.02,0.07
1114,15.43,20.64,-40.45,-4.38,-0.07,-0.01,0.06
1115,17.09,19.0,-40.45,-4.36,-0.07,-0.01,0.05
1116,17.65,17.36,-38.8,-3.79,-0.08,0.01,0.04
1117,15.43,19.0,-38.25,-3.83,-0.11,0.04,0.04
1118,15.98,17.36,-37.15,-3.81,-0.13,0.06,0.03
1119,17.09,14.62,-36.6,-4.89,-0.14,0.07,0.02
1120,18.76,11.88,-36.05,-5.41,-0.14,0.08,0.01
1121,19.87,9.15,-32.75,-3.73,-0.15,0.08,0.01
1122,19.87,7.51,-32.2,-4.82,-0.14,0.08,0.01
1123,20.43,5.87,-28.9,-2.61,-0.14,0.08,0.0
1124,21.54,3.68,-28.35,-3.14,-0.13,0.08,-0.01
1125,22.65,0.39,-26.71,-3.66,-0.12,0.08,-0.01
1126,23.21,-1.25,-23.41,-1.45,-0.12,0.08,-0.02
1127,23.21,-5.08,-22.86,-4.73,-0.11,0.08,-0.02
1128,23.76,-6.17,-20.11,-2.52,-0.1,0.08,-0.03
1129,22.09,-7.27,-17.36,-2.53,-0.09,0.08,-0.04
1130,22.09,-8.91,-16.81,-3.63,-0.09,0.09,-0.05
1131,21.54,-7.81,-15.16,-1.44,-0.08,0.11,-0.08
1132,18.76,-8.36,-14.06,-3.66,-0.08,0.13,-0.1
1133,17.65,-8.36,-11.86,-2.58,-0.08,0.14,-0.12
1134,17.09,-9.46,-9.67,-2.03,-0.07,0.14,-0.12
1135,14.87,-11.64,-6.92,-3.69,-0.07,0.13,-0.12
1136,16.54,-15.47,-4.72,-3.66,-0.04,0.11,-0.11
1137,15.43,-14.38,-2.52,-1.48,-0.02,0.09,-0.11
1138,11.54,-16.02,0.78,-3.71,-0.02,0.09,-0.1
1139,9.87,-15.47,2.98,-2.63,-0.01,0.08,-0.09
1140,9.31,-15.47,4.08,-2.09,-0.01,0.08,-0.1
1141,5.98,-16.02,6.82,-3.22,0.0,0.07,-0.09
1142,3.75,-15.47,9.57,-2.15,0.0,0.07,-0.09
1143,1.53,-14.93,10.67,-2.72,0.01,0.06,-0.08
1144,-1.25,-14.93,12.32,-3.85,0.01,0.05,-0.08
1145,1.53,-13.29,11.22,-0.53,0.04,0.05,-0.1
1146,-2.36,-12.19,8.47,-6.08,0.06,0.05,-0.11
1147,-4.58,-11.64,13.42,-2.81,0.07,0.04,-0.11
1148,-6.8,-10.0,12.32,-4.49,0.08,0.03,-0.11
1149,-8.47,-8.36,14.52,-2.31,0.08,0.02,-0.1
1150,-10.69,-6.17,14.52,-2.35,0.08,0.02,-0.09
1151,-13.47,-3.98,15.07,-2.39,0.08,0.02,-0.09
1152,-16.25,-1.25,13.97,-3.53,0.08,0.01,-0.08
1153,-19.03,0.94,15.62,-2.47,0.08,0.01,-0.08
1154,-22.92,3.68,17.27,-1.98,0.07,0.01,-0.07
1155,-23.48,5.87,15.62,-1.99,0.07,0.0,-0.05
1156,-24.59,8.05,15.07,-1.47,0.07,-0.01,-0.05
1157,-26.81,10.24,15.07,-1.5,0.07,-0.01,-0.04
1158,-26.81,11.88,13.42,-1.51,0.07,-0.02,-0.03
1159,-27.37,12.43,13.42,-1.52,0.09,-0.04,-0.02
1160,-29.59,15.17,11.77,-2.65,0.09,-0.05,-0.01
1161,-30.7,18.45,9.57,-2.68,0.08,-0.05,-0.01
1162,-31.81,21.19,9.57,-1.05,0.08,-0.05,0.0
1163,-32.37,23.38,6.27,-2.72,0.08,-0.05,0.0
1164,-33.48,25.56,4.08,-3.84,0.07,-0.05,0.0
1165,-34.04,28.3,3.53,-2.21,0.07,-0.05,0.01
1166,-34.04,29.94,0.78,-3.32,0.07,-0.05,0.02
1167,-35.15,32.68,-1.42,-3.89,0.07,-0.05,0.02
1168,-35.15,35.41,-3.07,-2.8,0.06,-0.06,0.03
1169,-34.59,37.6,-5.27,-2.26,0.06,-0.06,0.03
1170,-34.04,37.05,-6.92,-3.9,0.05,-0.07,0.04
1171,-33.48,37.6,-8.57,-4.44,0.05,-0.08,0.06
1172,-32.37,40.34,-9.67,-1.7,0.05,-0.08,0.06
1173,-31.26,42.53,-14.61,-3.34,0.05,-0.09,0.06
1174,-31.26,43.62,-14.61,-2.25,0.04,-0.09,0.07
1175,-30.15,44.17,-16.26,-2.24,0.04,-0.09,0.08
1176,-27.37,44.17,-20.66,-3.86,0.03,-0.09,0.08
1177,-25.7,45.81,-22.31,-2.2,0.03,-0.09,0.08
1178,-23.48,46.9,-25.61,-2.18,0.03,-0.08,0.07
1179,-22.37,48.55,-28.9,-2.72,0.03,-0.07,0.07
1180,-20.14,48.55,-31.1,-2.7,0.02,-0.07,0.06
1181,-17.36,48.0,-33.3,-2.67,0.02,-0.07,0.06
1182,-15.14,47.45,-35.5,-3.19,0.02,-0.07,0.06
1183,-12.92,47.45,-37.7,-3.17,0.01,-0.06,0.06
1184,-10.14,47.45,-39.35,-2.04,0.0,-0.06,0.06
1185,-7.92,46.36,-41.55,-3.11,0.0,-0.06,0.07
1186,-4.58,44.17,-43.2,-3.61,-0.01,-0.06,0.06
1187,-2.36,43.07,-43.75,-3.03,-0.01,-0.05,0.06
1188,-0.14,41.98,-45.94,-4.1,-0.01,-0.05,0.07
1189,3.2,40.34,-47.04,-3.51,-0.02,-0.05,0.07
1190,5.42,38.7,-48.14,-4.02,-0.03,-0.04,0.07
1191,7.64,37.6,-48.14,-2.9,-0.04,-0.04,0.07
1192,6.53,35.41,-46.49,-4.55,-0.07,-0.03,0.1
1193,10.98,31.58,-44.29,-1.73,-0.08,-0.03,0.1
1194,13.76,29.94,-47.04,-3.34,-0.08,-0.03,0.1
1195,15.43,26.66,-46.49,-4.41,-0.08,-0.03,0.1
1196,18.76,24.47,-45.94,-2.71,-0.08,-0.02,0.09
1197,19.32,20.64,-44.84,-4.89,-0.08,-0.02,0.09
1198,21.54,17.9,-44.29,-4.85,-0.08,-0.02,0.08
1199,24.32,14.07,-42.65,-4.26,-0.07,-0.03,0.08
1200,24.87,13.53,-41.55,-3.15,-0.08,-0.02,0.07
1201,23.21,11.88,-39.9,-4.81,-0.09,0.0,0.06
1202,25.43,10.79,-37.15,-0.93,-0.1,0.01,0.06
1203,27.1,4.77,-35.5,-3.63,-0.1,0.01,0.05
1204,28.76,1.49,-33.85,-3.6,-0.09,0.01,0.05
1205,29.32,-1.25,-30.55,-2.48,-0.08,0.0,0.04
1206,29.32,-3.98,-28.9,-3.57,-0.08,0.01,0.04
1207,29.32,-5.63,-26.71,-3.01,-0.08,0.01,0.03
1208,29.32,-8.36,-23.96,-3.0,-0.08,0.01,0.03
1209,29.32,-11.1,-20.66,-2.44,-0.08,0.02,0.02
1210,28.76,-12.74,-17.91,-1.89,-0.07,0.02,0.01
1211,28.76,-14.38,-15.71,-1.33,-0.07,0.03,0.0
1212,26.54,-15.47,-14.06,-3.0,-0.07,0.04,-0.01
1213,25.43,-16.02,-10.77,-1.36,-0.07,0.05,-0.03
1214,24.87,-14.38,-11.86,-1.37,-0.07,0.08,-0.06
1215,23.21,-13.29,-11.86,-1.94,-0.07,0.11,-0.1
1216,19.87,-12.74,-9.67,-2.53,-0.07,0.12,-0.12
1217,18.76,-16.57,-4.72,-2.53,-0.06,0.12,-0.1
1218,18.2,-17.66,-2.52,-1.98,-0.05,0.11,-0.1
1219,17.09,-17.66,-1.42,-1.99,-0.04,0.11,-0.1
1220,13.2,-16.57,1.88,-1.49,-0.04,0.11,-0.11
1221,10.42,-14.93,1.33,-3.18,-0.04,0.11,-0.11
1222,7.64,-13.83,4.08,-2.11,-0.04,0.12,-0.12
1223,6.53,-14.38,5.72,-2.12,-0.03,0.11,-0.11
1224,3.2,-13.83,8.47,-2.16,-0.03,0.11,-0.11
1225,0.42,-12.74,10.67,-1.65,-0.03,0.1,-0.09
1226,-2.36,-12.19,11.22,-3.33,-0.02,0.09,-0.09
1227,-2.36,-10.0,11.22,-1.14,0.0,0.07,-0.09
1228,-3.47,-8.91,11.77,-0.61,0.02,0.06,-0.1
1229,-3.47,-8.36,9.57,-2.26,0.05,0.05,-0.12
1230,-4.58,-5.63,6.27,-3.93,0.08,0.04,-0.13
1231,-5.14,-2.89,6.82,-1.2,0.1,0.04,-0.14
1232,-8.47,-1.25,6.27,-3.45,0.11,0.03,-0.14
